Memories,Maroon 5,2019,99,Memories.wav
Lose You To Love Me,Selena Gomez,2019,97,LoseYouToLoveMe.wav
Someone You Loved,Lewis Capaldi,2019,96,SomeoneYouLoved.wav
Señorita,Shawn Mendes,2019,95,Senorita.wav
How Do You Sleep?,Sam Smith,2019,93,HowDoYouSleep.wav
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,2019,92,SouthoftheBorder.wav
Trampoline (with ZAYN),SHAED,2019,92,Trampoline.wav
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,2019,75,CrossMe.wav
Truth Hurts,Lizzo,2019,90,\0
No Brainer (feat. Justin Bieber Chance the Rapper & Quavo),DJ Khaled,2019,70,NoBrainer.wav
