A Thousand Years,Christina Perri,2011,81,AThousandYears.wav
Someone Like You,Adele,2011,80,SomeoneLikeYou.wav
Give Me Everything,Pitbull,2011,79,GiveMeEverything.wav
Rolling in the Deep,Adele,2011,76,RollingintheDeep.wav
Run the World (Girls),Beyonce,2011,76,RunTheWorld.wav
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011,76,MovesLikeJagger.wav
Love On Top,Beyonce,2011,76,LoveOnTop.wav
Grenade,Bruno Mars,2011,75,Grenade.wav
Tonight Tonight,Hot Chelle Rae,2011,75,TonightTonight.wav
What the Hell,Avril Lavigne,2011,74,WhatTheHell.wav
